"scientificName","year","lon","lat","presence","row_code","system.index","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","forest","shrub","grass","wetland","crop","urban","water","landcover","fold","geo"
"Aedes sierrensis",2025,-116.902022,33.340092,1,1,"00000000000000000000",12.3,13.6392561983471,46.4490358126722,57.9720247933884,29.1258953168044,0.00922865013774105,29.1166666666667,6.20771349862259,18.030303030303,20.2805785123967,5.98471074380165,737.701101928375,129.296143250689,3.1900826446281,79.5220385674931,383.421487603306,32.4641873278237,50.0151515151515,366.019283746556,1,0,0,0,0,0,0,3,3,"{""type"":""Polygon"",""coordinates"":[[[-116.90202276766388,33.349091004823045],[-116.90841383508597,33.34733606230159],[-116.91231184501865,33.34275582895055],[-116.91219679450326,33.33713686098837],[-116.90811422497146,33.3326705462947],[-116.9016565153716,33.331098476787176],[-116.89534160567703,33.33303360881408],[-116.89163179806887,33.33772142235936],[-116.89197418063685,33.34333392843627],[-116.89623589284852,33.347682221155154],[-116.90202276766388,33.349091004823045]]]}"
"Aedes sierrensis",2026,-122.375455,40.568678,1,2,"00000000000000000001",16.8690909090909,14.5284848484849,41.3866666666667,70.3890303030303,36.8898181818182,2.3,34.5898181818182,8.32945454545455,26.0690909090909,26.0690909090909,8.32945454545455,1104.76,213.838787878788,5,78.4763636363636,556.181818181818,33.3963636363636,33.3963636363636,556.181818181818,0,0,0,0,0,1,0,17,2,"{""type"":""Polygon"",""coordinates"":[[[-122.3754533741413,40.577677295149414],[-122.3824823223362,40.57592230330046],[-122.38676920613551,40.57134199143058],[-122.38664245707271,40.56572302631395],[-122.38215246868866,40.56125679181233],[-122.37505058950934,40.559684766951555],[-122.36810574125202,40.561619845235974],[-122.36402568110027,40.56630758229701],[-122.36440200907153,40.57192009682261],[-122.36908891428835,40.57626847103967],[-122.3754533741413,40.577677295149414]]]}"
"Aedes sierrensis",2026,-121.114189,38.754787,1,3,"00000000000000000002",16.0221799746515,13.7519645120406,43,61.681660329531,34.4441064638783,2.8,31.6441064638783,8.4319391634981,23.8408111533587,23.9020278833967,8.32015209125475,656.163498098859,133.745247148289,1,83.2927756653992,336.627376425856,11,14.1863117870722,336.627376425856,0,0,0,0,0,0,1,18,3,"{""type"":""Polygon"",""coordinates"":[[[-121.11418772297203,38.763786332224484],[-121.12103450685063,38.76203135366907],[-121.1252103375832,38.757451062959234],[-121.12508692997305,38.75183209707528],[-121.12071329103749,38.7473658409627],[-121.11379537108546,38.74579380407028],[-121.1070304180602,38.74772889683752],[-121.10305609360904,38.75241665451038],[-121.10342272818662,38.75802916675962],[-121.10798820835939,38.76237751901363],[-121.11418772297203,38.763786332224484]]]}"
"Aedes sierrensis",2026,-117.868063,34.404583,1,4,"00000000000000000003",11.4507482993197,14.1393197278912,44.5537414965986,62.500843537415,29.2344217687075,-2.18285714285714,31.4172789115646,4.87700680272109,19.7176870748299,19.9887074829932,4.36027210884354,696.994557823129,136.095238095238,2.55374149659864,86.5197278911565,382.302040816327,14.6625850340136,31.7714285714286,365.469387755102,1,0,0,0,0,0,0,1,3,"{""type"":""Polygon"",""coordinates"":[[[-117.86806471538763,34.4135809856048],[-117.87453601324576,34.411826036378244],[-117.87848293450055,34.407245792353855],[-117.87836641271699,34.401626824778184],[-117.87423259941674,34.397160520985324],[-117.86769386816997,34.395588457546914],[-117.86129972676994,34.39752358226826],[-117.85754335006699,34.402211385416805],[-117.85789000231239,34.40782389264247],[-117.86220519392995,34.41217219643964],[-117.86806471538763,34.4135809856048]]]}"
"Aedes sierrensis",2026,-122.008762,37.264225,1,5,"00000000000000000004",14.7568326947637,13.3191570881226,53.9693486590038,40.5067688378033,28.0717752234994,3.47458492975734,24.597190293742,9.62618135376756,19.6968071519796,19.8979565772669,9.62618135376756,576.351213282248,124.724137931035,1,90.6283524904214,315.969348659004,5,10.1532567049808,315.969348659004,0,0,0,0,0,1,0,17,1,"{""type"":""Polygon"",""coordinates"":[[[-122.00876365811222,37.273224786684914],[-122.01547258914718,37.27146981855664],[-122.01956438008244,37.2668895444445],[-122.01944350064804,37.2612705779589],[-122.01515790927611,37.256804304894956],[-122.00837920125473,37.255232258564945],[-122.00175038468498,37.25716736269247],[-121.99785607576052,37.261855136532944],[-121.99821537436867,37.267467646996394],[-122.0026889657911,37.27181598202292],[-122.00876365811222,37.273224786684914]]]}"
"Aedes sierrensis",2025,-122.32709,44.152887,1,6,"00000000000000000005",10.4600882028666,13.2798235942668,45,55.7582359426681,28.1912899669239,-1.05060639470783,29.2418963616318,3.88026460859978,17.6181918412348,17.6600882028666,3.58026460859978,1606.37375964719,251.952590959206,19,58.8886438809261,728.815876515987,109.619625137817,114.003307607497,660.61631753032,1,0,0,0,0,0,0,1,3,"{""type"":""Polygon"",""coordinates"":[[[-122.32708550501461,44.16188488550499],[-122.33452742510086,44.160129865118925],[-122.33906606636637,44.155549507825924],[-122.33893173838821,44.14993054435769],[-122.334177983323,44.145464356247096],[-122.32665906943326,44.143892357213424],[-122.31930639928875,44.14582740440898],[-122.31498663346964,44.150515097223646],[-122.31538493270513,44.156127616634585],[-122.320347109292,44.160476037998656],[-122.32708550501461,44.16188488550499]]]}"
"Aedes sierrensis",2025,-122.197303,37.355992,1,7,"00000000000000000006",13.4941475826972,11.8405852417303,55,34.6635114503817,24.9693384223919,3.70623409669211,21.2631043256997,9.31908396946565,17.6665394402036,18.1110687022901,9.31908396946565,738.19465648855,149.015267175573,2,86.5916030534351,386.656488549618,9.87022900763359,14.2417302798982,386.656488549618,1,0,0,0,0,0,0,6,1,"{""type"":""Polygon"",""coordinates"":[[[-122.19730336885402,37.36499308636483],[-122.20402049585466,37.36323811760669],[-122.20811728333734,37.35865784249192],[-122.20799625360007,37.35303887604267],[-122.20370542740605,37.348572604002705],[-122.19691844260102,37.347000558242804],[-122.1902815320991,37.348935661684074],[-122.18638246589447,37.3536234345479],[-122.18674220066764,37.35923594511923],[-122.19122125529188,37.363584281186434],[-122.19730336885402,37.36499308636483]]]}"
"Aedes sierrensis",2025,-122.643173,38.095014,1,8,"00000000000000000007",13.4023869346734,12.0679648241206,54.7525125628141,36.7268216080402,25.5724874371859,3.68052763819095,21.891959798995,9.1820351758794,17.7418341708543,18.1201005025126,8.87876884422111,1018.30025125628,217.832914572864,1.69849246231156,90.4673366834171,556.491206030151,11.3982412060301,17.6645728643216,552.758793969849,1,0,0,0,0,0,0,1,3,"{""type"":""Polygon"",""coordinates"":[[[-122.64317334228915,38.104013281255575],[-122.64995784842223,38.10225830736797],[-122.65409571254987,38.09767802408826],[-122.65397344713354,38.09205905793495],[-122.6496395854139,38.08759279423393],[-122.6427845571337,38.08602075311669],[-122.63608110637763,38.087955850969465],[-122.63214293051824,38.0926436158799],[-122.6325062509694,38.09825612732974],[-122.6370302186141,38.102604471871715],[-122.64317334228915,38.104013281255575]]]}"
"Aedes sierrensis",2025,-122.219982,37.372633,1,9,"00000000000000000008",13.5923575129534,11.5665803108808,55.9417098445596,33.5023316062176,24.5182642487047,3.93329015544041,20.5849740932643,9.46269430051814,17.559067357513,17.9801813471503,9.46269430051814,684.743523316062,138.151554404145,2,86.7875647668394,357.566062176166,9.37564766839378,13.4896373056995,357.566062176166,0,0,0,0,0,1,0,17,1,"{""type"":""Polygon"",""coordinates"":[[[-122.21998235681185,37.38162999239523],[-122.2267009736711,37.379875023522736],[-122.23079866942359,37.37529474822594],[-122.23067761236423,37.36967578178327],[-122.22638583458689,37.36520950992923],[-122.21959734523236,37.36363746427283],[-122.21295896341962,37.3655725675895],[-122.20905903243896,37.37026034027602],[-122.20941884649783,37.375872850866934],[-122.2138988942202,37.38022118712307],[-122.21998235681185,37.38162999239523]]]}"
"Aedes sierrensis",2025,-121.663469,36.753358,1,10,"00000000000000000009",14.0165809768638,12.2071979434447,60,27.8255398457584,24.4026992287918,4.28251928020566,20.1201799485861,10.3701799485861,16.9074550128535,17.4074550128535,10.3701799485861,372.535989717224,75.987146529563,1,87.1658097686375,199.341902313625,5,8.9974293059126,199.341902313625,0,0,0,0,1,0,0,15,2,"{""type"":""Polygon"",""coordinates"":[[[-121.66346870893759,36.762358956294776],[-121.67013268783747,36.760603991645176],[-121.6741970743664,36.756023723070335],[-121.67407701927836,36.75040475638407],[-121.66982013916137,36.74593847766482],[-121.66308682655945,36.74436642818624],[-121.656502402528,36.746301536103786],[-121.65263418569813,36.75098931533807],[-121.6529910920716,36.75660182520569],[-121.65743471964487,36.76095015448482],[-121.66346870893759,36.762358956294776]]]}"
