system:index,mode,presence,row_code,scientificName,year,.geo
00000000000000000114,5.0,0,277,Aedes communis,2018.42105263158,"{""type"":""Polygon"",""coordinates"":[[[-72.27355132525508,42.49094824325248],[-72.28079131182186,42.489193236576696],[-72.28520685023194,42.48461290110645],[-72.2850762288976,42.47899393684606],[-72.28045144933387,42.474527726447704],[-72.27313645435352,42.47295571500594],[-72.26598319833832,42.47489077713751],[-72.26178064288264,42.4795784912096],[-72.26216819946032,42.48519100827366],[-72.2669957753836,42.48953940698673],[-72.27355132525508,42.49094824325248]]]}"
0000000000000000011c,8.0,0,285,Aedes communis,2017.77272727273,"{""type"":""Polygon"",""coordinates"":[[[-149.21455520067832,63.88834596730734],[-149.2266847216137,63.8865906810396],[-149.2340805450753,63.8820099006022],[-149.23385960077488,63.87639095256888],[-149.2261120082542,63.871925196616964],[-149.2138603674553,63.87035343814303],[-149.2018794852994,63.872288195767666],[-149.19483889125084,63.87697547639019],[-149.19548596336153,63.882588041232914],[-149.2035722770532,63.88693690181216],[-149.21455520067832,63.88834596730734]]]}"
00000000000000000122,1.0,0,291,Aedes communis,2020.66964285714,"{""type"":""Polygon"",""coordinates"":[[[-145.7534500131052,63.88834596730734],[-145.76557953404057,63.8865906810396],[-145.7729753575022,63.88200990060221],[-145.77275441320174,63.87639095256888],[-145.76500682068107,63.871925196616964],[-145.75275517988223,63.87035343814303],[-145.7407742977263,63.872288195767666],[-145.73373370367773,63.87697547639021],[-145.73438077578842,63.88258804123293],[-145.7424670894801,63.88693690181216],[-145.7534500131052,63.88834596730734]]]}"
00000000000000000123,6.0,0,292,Aedes communis,2019.23267326733,"{""type"":""Polygon"",""coordinates"":[[[-89.58734889557475,45.503846888438474],[-89.59496614236161,45.50209185646709],[-89.5996116653464,45.497511480733856],[-89.59947411783065,45.491892517935284],[-89.59460838144145,45.487426348657834],[-89.58691241921383,45.485854360108874],[-89.57938661183213,45.48778939468368],[-89.57496507942085,45.49247706953575],[-89.57537270450689,45.498089590929524],[-89.58045174577788,45.50243803143371],[-89.58734889557475,45.503846888438474]]]}"
00000000000000000124,1.0,0,293,Aedes communis,2019.65517241379,"{""type"":""Polygon"",""coordinates"":[[[-147.52964819482537,65.19974975072155],[-147.54237526503078,65.19799443362226],[-147.5501352336666,65.19341360412483],[-147.5499031609651,65.1877946578903],[-147.5417739529769,65.1833289520433],[-147.5289191569013,65.18175722145607],[-147.51634843374185,65.18369194551215],[-147.5089610104281,65.18837917834331],[-147.5096397029833,65.19399174844435],[-147.51812419931957,65.19834065994829],[-147.52964819482537,65.19974975072155]]]}"
00000000000000000125,6.0,0,294,Aedes communis,2019.80530973451,"{""type"":""Polygon"",""coordinates"":[[[-71.29414991077518,44.084550695935086],[-71.30158209600961,44.0827956762005],[-71.30611480273714,44.07821531994445],[-71.30598065348478,44.07259635643856],[-71.30123311608757,44.06813016726892],[-71.29372403270257,44.06655816764565],[-71.286380975899,44.06849321555093],[-71.282066860578,44.07318090937567],[-71.28246464196633,44.078793428675105],[-71.28742032972352,44.08314184896287],[-71.29414991077518,44.084550695935086]]]}"
00000000000000000128,17.0,0,297,Aedes communis,2004.56980703746,"{""type"":""Polygon"",""coordinates"":[[[-87.83605033413703,41.843549197706885],[-87.84321660929817,41.84179419614696],[-87.84758721140756,41.837213868819745],[-87.84745794274069,41.83159490426387],[-87.84288024294965,41.82712868554896],[-87.83563968470631,41.82555666947714],[-87.82855922102073,41.82749173718204],[-87.82439945066754,41.832179459186214],[-87.8247830854923,41.837791975374465],[-87.82956152812335,41.842140365635444],[-87.83605033413703,41.843549197706885]]]}"
0000000000000000012a,5.0,0,299,Aedes communis,2019.0999755859375,"{""type"":""Polygon"",""coordinates"":[[[-71.29414991077518,44.0679494627131],[-71.30158001132443,44.06619444311814],[-71.30611144719057,44.06161408708434],[-71.30597733621124,44.05599512357038],[-71.30123113030648,44.05152893417375],[-71.29372415209122,44.04995693442414],[-71.28638315395241,44.051891982481514],[-71.28207024866629,44.056579676522745],[-71.28246791915892,44.06219219579828],[-71.28742221735509,44.06654061585535],[-71.29414991077518,44.0679494627131]]]}"
00000000000000000136,14.0,0,311,Aedes communis,2018.94117647059,"{""type"":""Polygon"",""coordinates"":[[[-89.56244481619125,45.503846888438474],[-89.57006206297811,45.50209185646709],[-89.5747075859629,45.49751148073386],[-89.57457003844715,45.491892517935284],[-89.56970430205794,45.48742634865784],[-89.56200833983033,45.485854360108874],[-89.55448253244863,45.48778939468368],[-89.55006100003735,45.49247706953576],[-89.55046862512339,45.49808959092953],[-89.55554766639438,45.50243803143372],[-89.56244481619125,45.503846888438474]]]}"
00000000000000000137,17.0,0,312,Aedes communis,2002.09677419355,"{""type"":""Polygon"",""coordinates"":[[[-64.70395082276539,46.10144669341918],[-64.71165021207554,46.09969165610975],[-64.71634580997794,46.09511127188011],[-64.71620675363434,46.089492309390174],[-64.71128855285254,46.08502614879018],[-64.70350964223279,46.083454165072034],[-64.6959027188096,46.08538919383182],[-64.69143350764394,46.090076860407564],[-64.69184550153335,46.09568938271483],[-64.69697929489077,46.100037832037934],[-64.70395082276539,46.10144669341918]]]}"
00000000000000000138,6.0,0,313,Aedes communis,2019.3008356546,"{""type"":""Polygon"",""coordinates"":[[[-89.58734889557475,45.5204525807615],[-89.59496839004073,45.518697548643324],[-89.59961528323676,45.514117172676436],[-89.59947769443849,45.508498209886355],[-89.59461052245668,45.50403204084753],[-89.58691229049242,45.50246005243142],[-89.57938426351338,45.50439508684631],[-89.57496142646033,45.50908276147079],[-89.57536917109465,45.514695282889676],[-89.58044971055865,45.519043723636386],[-89.58734889557475,45.5204525807615]]]}"
00000000000000000139,1.0,0,314,Aedes communis,2020.11428571429,"{""type"":""Polygon"",""coordinates"":[[[-105.57315036746031,40.05074978276476],[-105.58012468335902,40.04899479485006],[-105.58437826167457,40.0444144892425],[-105.58425251482373,40.038795523898735],[-105.57979742039451,40.03432928300136],[-105.57275071166919,40.03275725457982],[-105.56585981505535,40.03469233715042],[-105.56181146574016,40.039380080311545],[-105.56218488669057,40.04499259416349],[-105.5668353757907,40.04934096188057],[-105.57315036746031,40.05074978276476]]]}"
0000000000000000013e,8.0,0,319,Aedes communis,2019.12121212121,"{""type"":""Polygon"",""coordinates"":[[[-149.23115197479925,63.88834596730734],[-149.24328149573464,63.8865906810396],[-149.25067731919623,63.88200990060221],[-149.2504563748958,63.87639095256888],[-149.24270878237513,63.871925196616964],[-149.23045714157624,63.87035343814303],[-149.21847625942033,63.872288195767666],[-149.21143566537177,63.87697547639019],[-149.21208273748246,63.882588041232914],[-149.22016905117414,63.88693690181216],[-149.23115197479925,63.88834596730734]]]}"
0000000000000000013f,5.0,0,320,Aedes communis,2019.50610820244,"{""type"":""Polygon"",""coordinates"":[[[-147.50474411544187,65.16654728427761],[-147.51745524775458,65.16479196799642],[-147.52520550409415,65.16021113980075],[-147.52497372847395,65.15459219351847],[-147.51685469890344,65.15012648634199],[-147.50401598980127,65.1485547550148],[-147.49146099852197,65.15048947996159],[-147.48408282585183,65.15517671406086],[-147.48476067530115,65.16078928402239],[-147.49323455146762,65.16513819417509],[-147.50474411544187,65.16654728427761]]]}"
0000000000000000014a,1.0,0,331,Aedes communis,2020.02777777778,"{""type"":""Polygon"",""coordinates"":[[[-105.56485198039985,40.05074978276476],[-105.57182629629857,40.04899479485006],[-105.57607987461412,40.0444144892425],[-105.57595412776328,40.038795523898735],[-105.57149903333406,40.03432928300136],[-105.56445232460874,40.03275725457983],[-105.5575614279949,40.034692337150425],[-105.5535130786797,40.039380080311545],[-105.55388649963012,40.044992594163496],[-105.55853698873025,40.04934096188057],[-105.56485198039985,40.05074978276476]]]}"
