"scientificName","year","lon","lat","presence","row_code"
"Aedes sierrensis",2026,-116.901891,33.340127,1,1
"Aedes sierrensis",2026,-122.375455,40.568678,1,2
"Aedes sierrensis",2026,-121.114189,38.754787,1,3
"Aedes sierrensis",2026,-117.868063,34.404583,1,4
"Aedes sierrensis",2026,-122.008762,37.264225,1,5
"Aedes sierrensis",2025,-122.327089,44.152846,1,6
"Aedes sierrensis",2025,-122.197303,37.355992,1,7
"Aedes sierrensis",2025,-122.643173,38.095014,1,8
"Aedes sierrensis",2025,-122.219982,37.372633,1,9
"Aedes sierrensis",2025,-121.663469,36.753358,1,10
"Aedes sierrensis",2025,-122.353506,40.842729,1,11
"Aedes sierrensis",2025,-122.633669,38.10276,1,12
"Aedes sierrensis",2025,-122.0842,37.28706,1,13
"Aedes sierrensis",2025,-121.701997,39.845547,1,14
"Aedes sierrensis",2025,-122.395483,40.520618,1,15
"Aedes sierrensis",2023,-119.73228,37.10878,1,16
"Aedes sierrensis",2025,-122.403878,37.802103,1,17
"Aedes sierrensis",2025,-122.295073,37.419527,1,18
"Aedes sierrensis",2025,-122.069016,37.235307,1,19
"Aedes sierrensis",2025,-122.011636,36.98807,1,20
"Aedes sierrensis",2025,-118.436021,34.107888,1,21
"Aedes sierrensis",2025,-121.563374,40.323237,1,22
"Aedes sierrensis",2025,-119.648992,37.488292,1,23
"Aedes sierrensis",2025,-123.400117,39.449835,1,24
"Aedes sierrensis",2025,-122.423026,49.180299,1,25
"Aedes sierrensis",2025,-122.567627,37.887817,1,26
"Aedes sierrensis",2025,-124.288026,40.321099,1,27
"Aedes sierrensis",2022,-119.26219,37.03337,1,28
"Aedes sierrensis",2025,-119.576062,49.492132,1,29
"Aedes sierrensis",2025,-116.859176,33.311535,1,30
"Aedes sierrensis",2025,-122.254993,44.213178,1,31
"Aedes sierrensis",2025,-119.905659,34.614804,1,32
"Aedes sierrensis",2025,-121.70945,47.508753,1,33
"Aedes sierrensis",2025,-122.921065,49.281356,1,34
"Aedes sierrensis",2025,-124.003723,41.208705,1,35
"Aedes sierrensis",2025,-120.59793,39.566555,1,36
"Aedes sierrensis",2025,-122.300656,37.273838,1,37
"Aedes sierrensis",2024,-121.95191,45.82049,1,38
"Aedes sierrensis",2019,-119.00602,37.00583,1,39
"Aedes sierrensis",2025,-119.061543,37.013134,1,40
"Aedes sierrensis",2024,-122.330317,45.762439,1,41
"Aedes sierrensis",2025,-123.477336,39.075692,1,42
"Aedes sierrensis",2025,-122.707174,38.575283,1,43
"Aedes sierrensis",2019,-119.745324,37.114513,1,44
"Aedes sierrensis",2018,-119.243066,37.034408,1,45
"Aedes sierrensis",2025,-119.043178,36.982926,1,46
"Aedes sierrensis",2019,-121.997031,45.827907,1,47
"Aedes sierrensis",2018,-121.989655,45.831558,1,48
"Aedes sierrensis",2025,-122.30509,45.753024,1,49
"Aedes sierrensis",2025,-122.424613,40.681125,1,50
"Aedes sierrensis",2024,-122.15682,37.116164,1,51
"Aedes sierrensis",2024,-122.150605,37.740412,1,52
"Aedes sierrensis",2024,-122.598106,37.99077,1,53
"Aedes sierrensis",2024,-122.566642,37.965078,1,54
"Aedes sierrensis",2024,-122.171088,37.801712,1,55
"Aedes sierrensis",2024,-122.383963,37.549022,1,56
"Aedes sierrensis",2024,-121.7955,37.0856,1,57
"Aedes sierrensis",2024,-124.0249,40.032,1,58
"Aedes sierrensis",2024,-122.287192,37.273188,1,59
"Aedes sierrensis",2024,-119.63243,37.490663,1,60
"Aedes sierrensis",2024,-111.813289,40.749719,1,61
"Aedes sierrensis",2024,-111.786435,40.652132,1,62
"Aedes sierrensis",2024,-122.200355,37.84013,1,63
"Aedes sierrensis",2024,-123.996615,41.207823,1,64
"Aedes sierrensis",2024,-122.067025,37.002439,1,65
"Aedes sierrensis",2024,-123.127985,49.299484,1,66
"Aedes sierrensis",2024,-121.3388,40.2617,1,67
"Aedes sierrensis",2018,-121.993379,45.815625,1,68
"Aedes sierrensis",2019,-119.273,37.032,1,69
"Aedes sierrensis",2024,-118.3957,33.3939,1,70
"Aedes sierrensis",2024,-122.609694,47.525312,1,71
"Aedes sierrensis",2024,-125.133847,48.833558,1,72
"Aedes sierrensis",2024,-124.70465,48.65732,1,73
"Aedes sierrensis",2024,-123.862618,49.196095,1,74
"Aedes sierrensis",2024,-122.049197,47.565441,1,75
"Aedes sierrensis",2024,-125.055686,48.8279,1,76
"Aedes sierrensis",2024,-132.267563,53.362717,1,77
"Aedes sierrensis",2024,-123.932311,47.864653,1,78
"Aedes sierrensis",2024,-118.993497,37.016483,1,79
"Aedes sierrensis",2024,-121.763251,38.543385,1,80
"Aedes sierrensis",2024,-121.780736,38.534255,1,81
"Aedes sierrensis",2020,-122.021174,45.832042,1,82
"Aedes sierrensis",2019,-119.724,37.09,1,83
"Aedes sierrensis",2023,-119.749511,37.109009,1,84
"Aedes sierrensis",2018,-119.73524,37.096437,1,85
"Aedes sierrensis",2017,-119.726034,37.092865,1,86
"Aedes sierrensis",2023,-119.727648,37.081507,1,87
"Aedes sierrensis",2023,-118.800826,36.51676,1,88
"Aedes sierrensis",2023,-121.74291,37.38306,1,89
"Aedes sierrensis",2023,-121.08547,39.29909,1,90
"Aedes sierrensis",2023,-119.28356,34.417475,1,91
"Aedes sierrensis",2023,-116.840428,34.353327,1,92
"Aedes sierrensis",2023,-122.15547,37.287524,1,93
"Aedes sierrensis",2023,-122.286962,37.467488,1,94
"Aedes sierrensis",2020,-122.389604,45.758502,1,95
"Aedes sierrensis",2022,-119.012116,36.992408,1,96
"Aedes sierrensis",2020,-123.450732,49.398493,1,97
"Aedes sierrensis",2019,-119.017,36.974,1,98
"Aedes sierrensis",2023,-119.018203,36.994164,1,99
"Aedes sierrensis",2023,-122.10077,41.109806,1,100
"Aedes sierrensis",2022,-116.820459,32.680577,1,101
"Aedes sierrensis",2021,-121.319849,38.627279,1,102
"Aedes sierrensis",2022,-122.715229,38.451209,1,103
"Aedes sierrensis",2022,-121.793992,39.762895,1,104
"Aedes sierrensis",2022,-122.406921,37.679361,1,105
"Aedes sierrensis",2022,-121.267218,39.340003,1,106
"Aedes sierrensis",2022,-121.917664,37.225011,1,107
"Aedes sierrensis",2022,-123.276558,44.58027,1,108
"Aedes sierrensis",2022,-119.262184,37.031342,1,109
"Aedes sierrensis",2022,-119.281555,37.035811,1,110
"Aedes sierrensis",2022,-122.384566,45.765077,1,111
"Aedes sierrensis",2022,-119.013482,36.980194,1,112
"Aedes sierrensis",2020,-121.849573,45.825584,1,113
"Aedes sierrensis",2022,-122.003014,45.81838,1,114
"Aedes sierrensis",2022,-122.060122,37.038113,1,115
"Aedes sierrensis",2022,-122.840026,49.147613,1,116
"Aedes sierrensis",2022,-125.533916,49.581598,1,117
"Aedes sierrensis",2022,-120.8607,40.435284,1,118
"Aedes sierrensis",2021,-122.539688,37.977858,1,119
"Aedes sierrensis",2021,-122.90117,38.494208,1,120
"Aedes sierrensis",2021,-118.357727,34.26552,1,121
"Aedes sierrensis",2021,-122.956863,38.413722,1,122
"Aedes sierrensis",2021,-122.25674,38.274815,1,123
"Aedes sierrensis",2021,-123.162793,39.261488,1,124
"Aedes sierrensis",2021,-122.268618,37.967085,1,125
"Aedes sierrensis",2021,-122.348797,37.287316,1,126
"Aedes sierrensis",2021,-122.771511,38.443643,1,127
"Aedes sierrensis",2021,-124.21952,48.606247,1,128
"Aedes sierrensis",2021,-122.5953,49.19776,1,129
"Aedes sierrensis",2021,-121.982655,45.837416,1,130
"Aedes sierrensis",2021,-122.00351,45.829151,1,131
"Aedes sierrensis",2021,-122.068238,37.227701,1,132
"Aedes sierrensis",2021,-118.864039,37.585029,1,133
"Aedes sierrensis",2021,-122.075359,37.236549,1,134
"Aedes sierrensis",2021,-122.336096,45.763458,1,135
"Aedes sierrensis",2021,-122.308509,45.747351,1,136
"Aedes sierrensis",2021,-119.003531,37.025513,1,137
"Aedes sierrensis",2021,-128.835754,53.470295,1,138
"Aedes sierrensis",2021,-128.553,53.44912,1,139
"Aedes sierrensis",2020,-122.162753,37.353317,1,140
"Aedes sierrensis",2020,-122.554108,38.060965,1,141
"Aedes sierrensis",2020,-122.787739,38.552931,1,142
"Aedes sierrensis",2020,-122.532937,37.877147,1,143
"Aedes sierrensis",2020,-118.72172,35.910467,1,144
"Aedes sierrensis",2020,-122.859255,38.516045,1,145
"Aedes sierrensis",2020,-122.190454,37.30716,1,146
"Aedes sierrensis",2020,-124.096707,41.237592,1,147
"Aedes sierrensis",2020,-124.946587,49.250088,1,148
"Aedes sierrensis",2018,-122.489843,47.390597,1,149
"Aedes sierrensis",2020,-122.20343,37.83247,1,150
"Aedes sierrensis",2020,-123.909954,40.31103,1,151
"Aedes sierrensis",2020,-125.148972,50.143275,1,152
"Aedes sierrensis",2020,-124.257392,48.495062,1,153
"Aedes sierrensis",2020,-122.223478,48.76389,1,154
"Aedes sierrensis",2020,-121.430658,35.964589,1,155
"Aedes sierrensis",2020,-123.43003,48.519597,1,156
"Aedes sierrensis",2020,-122.314267,45.746174,1,157
"Aedes sierrensis",2019,-117.466553,33.675482,1,158
"Aedes sierrensis",2019,-122.235663,37.408663,1,159
"Aedes sierrensis",2019,-122.321275,37.532792,1,160
"Aedes sierrensis",2019,-121.762055,38.541325,1,161
"Aedes sierrensis",2019,-122.503293,38.354548,1,162
"Aedes sierrensis",2019,-126.128745,49.866668,1,163
"Aedes sierrensis",2019,-120.474522,35.289947,1,164
"Aedes sierrensis",2019,-123.1293,50.1374,1,165
"Aedes sierrensis",2019,-132.542069,53.414075,1,166
"Aedes sierrensis",2019,-124.127189,43.34125,1,167
"Aedes sierrensis",2019,-122.291426,37.198568,1,168
"Aedes sierrensis",2019,-122.286944,37.200016,1,169
"Aedes sierrensis",2019,-119.285357,37.02656,1,170
"Aedes sierrensis",2018,-119.266,37.029,1,171
"Aedes sierrensis",2019,-123.1396,49.305,1,172
"Aedes sierrensis",2019,-119.036,37.04,1,173
"Aedes sierrensis",2019,-124.092023,49.243561,1,174
"Aedes sierrensis",2019,-122.365785,37.436747,1,175
"Aedes sierrensis",2019,-119.937425,38.300873,1,176
"Aedes sierrensis",2019,-122.243146,37.264294,1,177
"Aedes sierrensis",2018,-117.238463,33.407938,1,178
"Aedes sierrensis",2018,-100.212914,25.627199,1,179
"Aedes sierrensis",2018,-119.795068,34.030557,1,180
"Aedes sierrensis",2018,-122.15098,37.927302,1,181
"Aedes sierrensis",2018,-122.218541,37.252537,1,182
"Aedes sierrensis",2018,-121.495317,36.762042,1,183
"Aedes sierrensis",2018,-116.405,43.6098,1,184
"Aedes sierrensis",2018,-116.255,43.7246,1,185
"Aedes sierrensis",2018,-116.297,43.6492,1,186
"Aedes sierrensis",2017,-117.249,33.6611,1,187
"Aedes sierrensis",2018,-119.840347,34.521288,1,188
"Aedes sierrensis",2018,-122.218874,37.252619,1,189
"Aedes sierrensis",2018,-116.279,43.6454,1,190
"Aedes sierrensis",2017,-117.351,33.9533,1,191
"Aedes sierrensis",2018,-123.508707,48.524397,1,192
"Aedes sierrensis",2018,-111.937,40.8124,1,193
"Aedes sierrensis",2018,-111.873,40.7104,1,194
"Aedes sierrensis",2018,-111.857,40.7309,1,195
"Aedes sierrensis",2018,-111.935,40.7884,1,196
"Aedes sierrensis",2018,-111.904,40.7858,1,197
"Aedes sierrensis",2018,-119.732525,37.086793,1,198
"Aedes sierrensis",2018,-112.006,40.765,1,199
"Aedes sierrensis",2018,-112.032,40.831,1,200
"Aedes sierrensis",2018,-122.363716,45.729719,1,201
"Aedes sierrensis",2017,-100.284721,25.677467,1,202
"Aedes sierrensis",2017,-117.4,33.9591,1,203
"Aedes sierrensis",2017,-116.908543,33.344167,1,204
"Aedes sierrensis",2017,-117.355,33.6982,1,205
"Aedes sierrensis",2017,-117.601,33.9267,1,206
"Aedes sierrensis",2016,-117.603,33.9053,1,207
"Aedes sierrensis",2017,-117.496,33.9643,1,208
"Aedes sierrensis",2017,-117.619,33.8862,1,209
"Aedes sierrensis",2017,-117.426,33.9082,1,210
"Aedes sierrensis",2017,-117.484,33.9882,1,211
"Aedes sierrensis",2015,-117.568,33.9403,1,212
"Aedes sierrensis",2017,-117.291,33.6709,1,213
"Aedes sierrensis",2017,-122.219758,37.874625,1,214
"Aedes sierrensis",2017,-116.958637,34.096268,1,215
"Aedes sierrensis",2017,-117.397,33.6921,1,216
"Aedes sierrensis",2017,-117.54,33.9059,1,217
"Aedes sierrensis",2017,-122.368,45.768,1,218
"Aedes sierrensis",2017,-118.681005,35.025075,1,219
"Aedes sierrensis",2017,-118.705865,35.006112,1,220
"Aedes sierrensis",2017,-117.714641,34.388931,1,221
"Aedes sierrensis",2017,-123.54661,48.47849,1,222
"Aedes sierrensis",2017,-117.596,33.8989,1,223
"Aedes sierrensis",2017,-122.333393,37.401217,1,224
