"presence","fold","bio01","bio04","bio12","bio15","forest","shrub","grass","wetland","crop","urban"
0,3,-7.5,140.848178294574,419.289147286822,42.7108527131783,0,0,0,0,0,0
0,1,12.7053050397878,64.8595623342175,810.144562334217,82.2347480106101,1,0,0,0,0,0
0,1,9.39940334128879,87.0228758949881,1191.28997613365,9.14200477326969,0,0,0,0,0,1
0,3,16.3875590551181,27.7317165354331,499.784251968504,90.8251968503937,0,0,1,0,0,0
1,2,17.9826145552561,43.6628706199461,261.583557951482,63.4420485175202,0,0,0,0,0,1
0,3,5.79574712643678,97.2344827586207,1061.82528735632,10.9977011494253,1,0,0,0,0,0
0,2,4.53511111111111,110.909477777778,801.553333333333,44.5388888888889,1,0,0,0,0,0
0,2,-7.58260405549627,141.237780149413,412,45,0,0,0,0,0,0
1,1,7.07133676092545,56.8920179948586,828.1735218509,78.2724935732648,1,0,0,0,0,0
0,2,11.9891581632653,85.4152551020408,972.776785714286,14,1,0,0,0,0,0
0,2,4.51412133891213,121.176924686192,431.32949790795,70.4142259414226,0,0,1,0,0,0
1,3,13.7768733850129,49.5905813953488,1135.81266149871,90.5219638242894,0,0,1,0,0,0
1,1,16.9079608938548,51.6908798882682,354.090782122905,84.4930167597766,0,0,0,0,0,1
1,1,11.0929824561404,51.3713596491228,1120.29714912281,68.2368421052632,0,0,0,0,0,1
0,1,5.66502732240437,95.6314316939891,1124.89071038251,10,1,0,0,0,0,0
1,2,16.1,64.139250317662,719.649301143583,81.0393900889454,0,0,0,0,0,1
0,2,4.45730809674027,120.79516298633,445.181913774974,67.0283911671924,0,0,1,0,0,0
1,1,11.6645287958115,63.2042931937173,861.23167539267,82,1,0,0,0,0,0
0,1,9.27609988109393,88.7362782401902,1174.1355529132,9,0,0,0,0,0,1
0,3,10.4123756906077,82.8298563535912,311.265193370166,36.5977900552486,0,0,0,0,0,1
1,2,10.3342786683107,37.8261035758323,1912.27127003699,82.1923551171393,1,0,0,0,0,0
0,2,9.60817307692308,96.5586899038462,842.673076923077,20,0,0,0,0,0,1
0,3,10.9467843631778,92.6101134930643,395.747793190416,28.139974779319,0,0,0,1,0,0
0,3,-3.46350314026518,112.717069085834,354.277041172366,42.9490579204466,1,0,0,0,0,0
1,3,13.9717616580311,37.4282772020725,968.11139896373,92.2836787564767,0,0,0,0,0,1
0,2,16.990395480226,64.9292514124294,468.677966101695,74.1200564971751,0,1,0,0,0,0
0,2,17.2229916897507,50.4947091412742,317.382271468144,82.4612188365651,0,0,1,0,0,0
1,3,10.550430504305,90.5048462484625,430.674046740467,26.1992619926199,0,0,0,0,0,1
0,1,22.3,43.9260088365243,1275.0913107511,58.4491899852725,0,0,0,0,1,0
0,1,7.24551282051282,57.1283076923077,829.853846153846,78.5487179487179,1,0,0,0,0,0
0,2,15.3738782051282,21.1415865384615,841.11217948718,94.4983974358974,0,0,0,0,0,1
0,3,23.6849104859335,45.7902557544757,733.3273657289,51.8874680306905,0,1,0,0,0,0
0,3,5.85298759864713,98.1839909808343,1178.45321307779,10,1,0,0,0,0,0
1,3,6.16936936936937,44.6101301301301,2167.3033033033,52.6466466466467,1,0,0,0,0,0
1,3,14.4359335038363,33.8861764705882,546.740409207161,87.7020460358056,0,0,0,0,0,1
1,2,17.8792276964048,42.878828229028,258.363515312916,61.098535286285,0,0,0,0,0,1
0,1,23,58.06,659.041979010495,70.6596701649175,0,0,1,0,0,0
1,2,9.03449401523395,35.9210010881393,3136.20892274211,52,1,0,0,0,0,0
0,2,18.4364406779661,67.6550988700565,376.966101694915,74.5042372881356,0,1,0,0,0,0
0,3,7.43466666666666,92.7854181818182,1139.62303030303,7.35515151515152,1,0,0,0,0,0
0,2,20.0189873417722,25.3697310126582,417.330696202532,78.2215189873418,0,0,0,0,0,0
0,1,9.5,95.5316387559809,847,20,0,0,0,0,1,0
0,3,10.4393333333333,84.0877555555556,295.14,36.93,0,0,0,0,1,0
0,2,13.7322997416021,80.9827260981912,1354.43669250646,15,0,0,0,0,0,1
0,3,9.7,100.281269461078,930.281437125749,28.762874251497,0,0,0,0,0,1
0,2,22.2,44.5817914831131,1219.9295154185,48.3994126284875,0,0,0,0,0,1
0,3,15.3545454545455,75.3475935828877,1147.15106951872,14,0,0,0,0,0,1
1,2,10.9930942895086,36.7236122177955,714.201859229748,87.3160690571049,0,1,0,0,0,0
1,2,8.90182992465016,51.3913778256189,2483.94294940796,62.1969860064586,1,0,0,0,0,0
0,1,21.2866965620329,50.2997010463378,913.849028400598,79.9387144992526,0,1,0,0,0,0
0,3,9.86960193003619,99.574246079614,922.524728588661,28,0,0,0,0,0,1
1,1,9.74853977844914,53.3685397784491,1527.4612286002,47.9738167170191,0,0,0,0,0,0
0,1,10.9,94.7246925972397,1023.5834378921,20,0,0,0,0,0,1
1,1,17.0670765027322,45.9300956284153,444.590163934426,90.6803278688524,0,0,0,0,0,1
1,3,11.0666265060241,34.2111084337349,1560.27108433735,74.7614457831325,1,0,0,0,0,0
0,1,1.27176895306859,80.3999927797834,516.017328519856,47.3530685920578,1,0,0,0,0,0
0,2,5.53125,94.1526293103448,1153.88362068966,12.4773706896552,0,0,0,0,0,1
0,3,3.8,109.084008762322,839.61117196057,37.5969331872946,0,0,0,0,0,0
