"presence","fold","bio04","bio08","bio10","bio16","bio18","forest","shrub","grass","wetland","crop","urban"
0,3,140.848178294574,9.45317829457364,9.76658914728682,164.289147286822,156.289147286822,0,0,0,0,0,0
0,1,64.8595623342175,5.93076923076923,21.3818302387268,417.696286472148,24.7493368700265,1,0,0,0,0,0
0,1,87.0228758949881,0.587589498806683,20.4994033412888,332.226730310263,271.103818615752,0,0,0,0,0,1
0,3,27.7317165354331,18.4357480314961,19.4382677165354,296.020472440945,207.883464566929,0,0,1,0,0,0
1,2,43.6628706199461,13.3871967654987,23.9735849056604,125.196765498652,28.599730458221,0,0,0,0,0,1
0,3,97.2344827586207,17.5391954022989,17.89,286.552873563218,285.850574712644,1,0,0,0,0,0
0,2,110.909477777778,16.7351111111111,18.0247777777778,308.963333333333,298.241111111111,1,0,0,0,0,0
0,2,141.237780149413,9.41739594450374,9.71739594450374,165,156,0,0,0,0,0,0
1,1,56.8920179948586,1.02622107969152,14.8458868894602,419.323907455013,38.3753213367609,1,0,0,0,0,0
0,2,85.4152551020408,20.7202806122449,22.7770408163265,283.108418367347,279.108418367347,1,0,0,0,0,0
0,2,121.176924686192,16.9643305439331,19.3995815899582,211.088912133891,209.175732217573,0,0,1,0,0,0
1,3,49.5905813953488,7.77894056847545,20.1023255813954,624.700258397933,20.7416020671835,0,0,1,0,0,0
1,1,51.6908798882682,11.4560055865922,24.0391061452514,194.972067039106,19.0027932960894,0,0,0,0,0,1
1,1,51.3713596491228,5.22357456140351,17.9253289473684,553.377192982456,69.0328947368421,0,0,0,0,0,1
0,1,95.6314316939891,-3.98295081967213,17.5650273224044,325.318032786885,268.318032786885,1,0,0,0,0,0
1,2,64.139250317662,8.1,24.2010165184244,371.002541296061,18.0914866581957,0,0,0,0,0,1
0,2,120.79516298633,16.9056782334385,19.3394321766561,214.46792849632,213.46792849632,0,0,1,0,0,0
1,1,63.2042931937173,5.02395287958115,20.1557591623037,444.36387434555,27.3232984293194,1,0,0,0,0,0
0,1,88.7362782401902,4.22271105826397,20.5667063020214,325.027348394768,272.399524375743,0,0,0,0,0,1
0,3,82.8298563535912,0.557790055248619,21.2306077348066,112.265193370166,42,0,0,0,0,0,1
1,2,37.8261035758323,6.41454993834772,15.4454993834772,990.451294697904,56.766954377312,1,0,0,0,0,0
0,2,96.5586899038462,21.6954326923077,21.6954326923077,260.836538461539,260.836538461539,0,0,0,0,0,1
0,3,92.6101134930643,9.9,23.2519546027743,139.852459016393,70,0,0,0,1,0,0
0,3,112.717069085834,10.2099790648988,10.2099790648988,145.926727145848,145.926727145848,1,0,0,0,0,0
1,3,37.4282772020725,9.40971502590674,18.6436528497409,540.519430051814,14.2823834196891,0,0,0,0,0,1
0,2,64.9292514124294,24.650988700565,25.4,243.790960451977,204.672316384181,0,1,0,0,0,0
0,2,50.4947091412742,11.9174515235457,24.1740997229917,173.175900277008,19.4764542936288,0,0,1,0,0,0
1,3,90.5048462484625,9.6530135301353,22.4974169741697,149.081180811808,71,0,0,0,0,0,1
0,1,43.9260088365243,27.4,27.4,593.434462444772,591.067746686303,0,0,0,0,1,0
0,1,57.1283076923077,1.17371794871795,15.0515384615385,421.032051282051,37.898717948718,1,0,0,0,0,0
0,2,21.1415865384615,16.6405448717949,17.6275641025641,496.602564102564,238.108974358974,0,0,0,0,0,1
0,3,45.7902557544757,28.5,28.8,295.734015345269,210.772378516624,0,1,0,0,0,0
0,3,98.1839909808343,1.07429537767756,18.0943630214205,328.108229988726,307.349492671928,1,0,0,0,0,0
1,3,44.6101301301301,1.56656656656657,12.1638638638639,920.93993993994,232.102102102102,1,0,0,0,0,0
1,3,33.8861764705882,9.94245524296675,18.4897698209719,295.166240409207,8.55626598465473,0,0,0,0,0,1
1,2,42.878828229028,13.3505992010652,23.7213049267643,122.109187749667,29.0559254327563,0,0,0,0,0,1
0,1,58.06,26.9721139430285,29.8688155922039,310.826086956522,219.497751124438,0,0,1,0,0,0
1,2,35.9210010881393,5.32426550598477,13.8842219804135,1275.10446137106,316.268770402611,1,0,0,0,0,0
0,2,67.6550988700565,26.5364406779661,27.1576271186441,200.024011299435,167.024011299435,0,1,0,0,0,0
0,3,92.7854181818182,16.8701818181818,19.0346666666667,302.88,302.061818181818,1,0,0,0,0,0
0,2,25.3697310126582,22.2674050632911,22.7416139240506,206.221518987342,141.552215189873,0,0,0,0,0,0
0,1,95.5316387559809,21.3885167464115,21.3885167464115,261,261,0,0,0,0,1,0
0,3,84.0877555555556,0.239555555555556,21.4,107.734444444444,40,0,0,0,0,1,0
0,2,80.9827260981912,13.6284237726098,23.8129198966408,394.673126614987,306.736434108527,0,0,0,0,0,1
0,3,100.281269461078,22.0726946107784,22.0726946107784,302.719760479042,302.719760479042,0,0,0,0,0,1
0,2,44.5817914831131,27.3069016152717,27.3906020558003,524.016152716593,503.080763582966,0,0,0,0,0,1
0,3,75.3475935828877,24.8251336898396,24.8251336898396,334.351604278075,334.351604278075,0,0,0,0,0,1
1,2,36.7236122177955,7.06772908366534,16.1405046480744,372.827357237716,14.9096945551129,0,1,0,0,0,0
1,2,51.3913778256189,3.20818083961249,15.6935414424112,1161.19698600646,174.551130247578,1,0,0,0,0,0
0,1,50.2997010463378,25.121375186846,27.2122571001495,467.742899850523,368.029895366218,0,1,0,0,0,0
0,3,99.574246079614,22.2,22.2,300,300,0,0,0,0,0,1
1,1,53.3685397784491,3.46435045317221,16.5673716012085,637.743202416919,166.928499496475,0,0,0,0,0,0
0,1,94.7246925972397,20.6,22.6,318.38895859473,299.38895859473,0,0,0,0,0,1
1,1,45.9300956284153,12.146174863388,23.4617486338798,254.281420765027,14.8825136612022,0,0,0,0,0,1
1,3,34.2111084337349,7.2955421686747,15.6297590361446,770.386746987952,61.9421686746988,1,0,0,0,0,0
0,1,80.3999927797834,7.1971119133574,11.3971119133574,226.618772563177,144.108303249097,1,0,0,0,0,0
0,2,94.1526293103448,-3.64773706896552,17.4,343.852370689655,267.689655172414,0,0,0,0,0,1
0,3,109.084008762322,15.886308871851,17.0759036144578,300,299,0,0,0,0,0,0
0,2,17.7585874799358,14.7158908507223,15.3239165329053,593.956661316212,296.894060995185,0,0,0,0,1,0
1,2,40.352603960396,3.36316831683168,12.9925742574257,962.933663366337,258.268316831683,1,0,0,0,0,0
1,3,82.8091251384275,-0.150276854928018,20.5372093023256,142.996677740864,46.0520487264673,0,0,0,0,0,1
1,1,51.4629087261785,3.74012036108325,16.3143430290873,564.964894684052,139.802407221665,0,0,0,0,0,1
0,2,61.0070317002882,26.7622478386167,27,546.864553314121,539,0,0,0,1,0,0
0,2,79.166931359354,23.8973082099596,25.6095558546433,200.707940780619,189.907133243607,0,0,0,0,0,1
0,3,92.6900483091788,16.9420289855072,19.1329710144928,303.057971014493,302.400966183575,1,0,0,0,0,0
0,1,49.833223880597,25.4232835820896,27.7410447761194,255.155223880597,169.9,0,0,0,0,0,1
1,1,57.8180900409277,6.25525238744884,20.3021828103684,382.832196452933,49.2046384720327,1,0,0,0,0,0
0,1,109.457775061125,20.0960880195599,22.0015892420538,335.771393643032,335.039119804401,0,0,0,0,0,1
0,1,100.759427148194,22.2495641344956,24.659900373599,355.118306351183,325.377334993773,0,0,0,0,1,0
0,2,110.633373893805,16.7651548672566,18.0241150442478,308.651548672566,297.004424778761,0,0,0,1,0,0
0,2,45.9938799414349,27.2461200585652,27.2461200585652,532.682284040996,532.313323572474,0,0,0,0,0,1
0,2,108.087481840194,20.5675544794189,22.6136803874092,323.400726392252,322.076271186441,0,0,0,0,0,1
0,1,67.7148863636363,9.7640625,27.1696022727273,420.946022727273,337.190340909091,1,0,0,0,0,0
1,3,67.3206955380577,8.9753280839895,24.7402887139108,164.87532808399,6.35433070866142,0,0,1,0,0,0
1,1,67.96656,9.20333333333333,24.9773333333333,240.604,5,0,0,1,0,0,0
0,3,82.2126755852843,0.473244147157191,21.1494983277592,90.2764771460424,40,0,0,0,0,0,1
0,2,141.308829902492,9.43521126760563,9.73521126760564,165,156,0,0,0,0,0,0
0,3,96.568893129771,22.3868956743003,24.5187022900763,371.132315521629,347.263358778626,1,0,0,0,0,0
0,3,83.119778761062,0.347898230088496,21.2423672566372,106.610619469027,40.8595132743363,0,0,0,0,0,1
0,3,82.4448390677025,0.48534961154273,21.1962264150943,91.6970033296337,40,0,0,0,0,1,0
0,3,83.226781354051,0.362153163152053,21.2621531631521,114.207547169811,41,0,0,0,0,0,1
