"presence","fold","bio08","bio09","bio16","bio17","forest","urban"
0,3,9.45317829457364,-25.0068217054264,164.289147286822,49,0,0
0,1,5.93076923076923,21.3546419098143,417.696286472148,13.9827586206897,1,0
0,1,0.587589498806683,18.1886634844869,332.226730310263,264.305489260143,0,1
0,3,18.4357480314961,15.2968503937008,296.020472440945,21.4771653543307,0,0
1,2,13.3871967654987,21.3508086253369,125.196765498652,20.3477088948787,0,1
0,3,17.5391954022989,-5.9867816091954,286.552873563218,222.296551724138,1,0
0,2,16.7351111111111,-10.6648888888889,308.963333333333,84.9266666666667,1,0
0,2,9.41739594450374,-25.1,165,46,0,0
1,1,1.02622107969152,14.7131105398458,419.323907455013,23.1311053984576,1,0
0,2,20.7202806122449,0.589158163265306,283.108418367347,194.121173469388,1,0
0,2,16.9643305439331,-11.9620292887029,211.088912133891,25.6213389121339,0,0
1,3,7.77894056847545,20.0525839793282,624.700258397933,11.749354005168,0,0
1,1,11.4560055865922,23.5081005586592,194.972067039106,10.0013966480447,0,1
1,1,5.22357456140351,17.7381578947368,553.377192982456,64.171052631579,0,1
0,1,-3.98295081967213,-1.81060109289617,325.318032786885,255.818579234973,1,0
1,2,8.1,24.2010165184244,371.002541296061,18.0914866581957,0,1
0,2,16.9056782334385,-11.8971608832808,214.46792849632,29.1766561514196,0,0
1,1,5.02395287958115,20.0824607329843,444.36387434555,16,1,0
0,1,4.22271105826397,18.2438763376932,325.027348394768,266.399524375743,0,1
0,3,0.557790055248619,20.5583425414365,112.265193370166,37,0,1
1,2,6.41454993834772,15.1907521578298,990.451294697904,34.5289765721332,1,0
0,2,21.6954326923077,-1.89182692307692,260.836538461539,155.918269230769,0,1
0,3,9.9,23.2519546027743,139.852459016393,70,0,0
0,3,10.2099790648988,-9.88464759246336,145.926727145848,46.1744591765527,1,0
1,3,9.40971502590674,18.2974093264249,540.519430051814,9.88730569948187,0,1
0,2,24.650988700565,20.190395480226,243.790960451977,26.1949152542373,0,0
0,2,11.9174515235457,23.6480609418283,173.175900277008,10.4764542936288,0,0
1,3,9.6530135301353,22.4974169741697,149.081180811808,71,0,1
0,1,27.4,17.4446244477172,593.434462444772,166.558173784978,0,0
0,1,1.17371794871795,14.9188461538462,421.032051282051,22.5217948717949,1,0
0,2,16.6405448717949,12.3738782051282,496.602564102564,23,0,1
0,3,28.5,21.2179028132992,295.734015345269,89.9718670076726,0,0
0,3,1.07429537767756,-6.01093573844419,328.108229988726,256.002254791432,1,0
1,3,1.56656656656657,12.0796796796797,920.93993993994,209.434434434434,1,0
1,3,9.94245524296675,17.9695652173913,295.166240409207,7,0,1
1,2,13.3505992010652,21.1031957390147,122.109187749667,20.3914780292943,0,1
0,1,26.9721139430285,16.7685157421289,310.826086956522,59,0,0
1,2,5.32426550598477,13.5213275299238,1275.10446137106,275.15451577802,1,0
0,2,26.5364406779661,21.686581920904,200.024011299435,21.7118644067797,0,0
0,3,16.8701818181818,-3.76266666666667,302.88,256.16,1,0
0,2,22.2674050632911,17.7742088607595,206.221518987342,19.3306962025316,0,0
0,1,21.3885167464115,-1.9,261,157,0,0
0,3,0.239555555555556,20.5718888888889,107.734444444444,35.4577777777778,0,0
0,2,13.6284237726098,19.6452196382429,394.673126614987,268.961240310077,0,1
0,3,22.0726946107784,-3.87125748502994,302.719760479042,141.863473053892,0,1
0,2,27.3069016152717,17.2,524.016152716593,165,0,1
0,3,24.8251336898396,10.7516042780749,334.351604278075,245.945187165775,0,1
1,2,7.06772908366534,15.6371845949535,372.827357237716,7.02788844621514,0,0
1,2,3.20818083961249,15.5083961248654,1161.19698600646,165.437029063509,1,0
0,1,25.121375186846,14.5318385650224,467.742899850523,60.1808669656203,0,0
0,3,22.2,-3.50627261761158,300,143,0,1
1,1,3.46435045317221,16.5673716012085,637.743202416919,166.928499496475,0,0
0,1,20.6,-1.9,318.38895859473,196,0,1
1,1,12.146174863388,22.7842896174863,254.281420765027,7.09972677595628,0,1
1,3,7.2955421686747,15.2331325301205,770.386746987952,49.6036144578313,1,0
0,1,7.1971119133574,0.904981949458484,226.618772563177,69.7718411552347,1,0
0,2,-3.64773706896552,15.545150862069,343.852370689655,258.6875,0,1
0,3,15.886308871851,-9.4,300,110.403066812705,0,0
0,2,14.7158908507223,10.7884430176565,593.956661316212,31.2247191011236,0,0
1,2,3.36316831683168,12.9248514851485,962.933663366337,240.636633663366,1,0
1,3,-0.150276854928018,19.8647840531561,142.996677740864,40.5514950166113,0,1
1,1,3.74012036108325,16.3143430290873,564.964894684052,139.802407221665,0,1
0,2,26.7622478386167,15.9,546.864553314121,292.945244956772,0,0
0,2,23.8973082099596,6.3,200.707940780619,37.3405114401077,0,1
