"scientificName","decimalLatitude","decimalLongitude","year"
"Aedes sierrensis",33.340127,-116.901891,2026
"Aedes sierrensis",40.568653,-122.375478,2026
"Aedes sierrensis",38.754787,-121.114189,2026
"Aedes sierrensis",40.568678,-122.375455,2026
"Aedes sierrensis",34.404583,-117.868063,2026
"Aedes sierrensis",37.264225,-122.008762,2026
"Aedes sierrensis",44.152887,-122.32709,2025
"Aedes sierrensis",37.355992,-122.197303,2025
"Aedes sierrensis",38.095014,-122.643173,2025
"Aedes sierrensis",44.152846,-122.327089,2025
"Aedes sierrensis",37.372633,-122.219982,2025
"Aedes sierrensis",36.753358,-121.663469,2025
"Aedes sierrensis",40.842729,-122.353506,2025
"Aedes sierrensis",38.10276,-122.633669,2025
"Aedes sierrensis",37.28706,-122.0842,2025
"Aedes sierrensis",39.845547,-121.701997,2025
"Aedes sierrensis",40.520618,-122.395483,2025
"Aedes sierrensis",37.10878,-119.73228,2025
"Aedes sierrensis",37.10878,-119.73228,2025
"Aedes sierrensis",37.802103,-122.403878,2025
"Aedes sierrensis",37.419527,-122.295073,2025
"Aedes sierrensis",37.235307,-122.069016,2025
"Aedes sierrensis",36.98807,-122.011636,2025
"Aedes sierrensis",34.107888,-118.436021,2025
"Aedes sierrensis",40.323237,-121.563374,2025
"Aedes sierrensis",37.488292,-119.648992,2025
"Aedes sierrensis",39.449835,-123.400117,2025
"Aedes sierrensis",49.180299,-122.423026,2025
"Aedes sierrensis",37.887817,-122.567627,2025
"Aedes sierrensis",40.321099,-124.288026,2025
"Aedes sierrensis",37.10878,-119.73228,2025
"Aedes sierrensis",37.03337,-119.26219,2025
"Aedes sierrensis",49.492132,-119.576062,2025
"Aedes sierrensis",33.340092,-116.902022,2025
"Aedes sierrensis",33.311535,-116.859176,2025
"Aedes sierrensis",34.107888,-118.436021,2025
"Aedes sierrensis",44.213178,-122.254993,2025
"Aedes sierrensis",34.614804,-119.905659,2025
"Aedes sierrensis",47.508753,-121.70945,2025
"Aedes sierrensis",49.281356,-122.921065,2025
"Aedes sierrensis",41.208705,-124.003723,2025
"Aedes sierrensis",39.566555,-120.59793,2025
"Aedes sierrensis",37.273838,-122.300656,2025
"Aedes sierrensis",45.82049,-121.95191,2025
"Aedes sierrensis",37.00583,-119.00602,2025
"Aedes sierrensis",37.013134,-119.061543,2025
"Aedes sierrensis",37.00583,-119.00602,2025
"Aedes sierrensis",45.762439,-122.330317,2025
"Aedes sierrensis",45.82049,-121.95191,2025
"Aedes sierrensis",37.03337,-119.26219,2025
